source_repo	source_path	bytes	lines	ak_hits	disposition	target_path	status	reason
alaskaaicarousels	.claude/agents/caption-critic.md	3236	58	0	PORT_RETHEMED	.claude/agents/carousel-caption-critic.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/caption-director.md	3408	58	1	PORT_RETHEMED	.claude/agents/carousel-caption-director.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/copywriter.md	2925	55	3	PORT_RETHEMED	.claude/agents/carousel-copywriter.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/fact-checker.md	3976	77	2	PORT_RETHEMED	.claude/agents/carousel-fact-checker.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/flow-critic.md	2099	42	1	PORT_RETHEMED	.claude/agents/carousel-flow-critic.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/pixel-critic.md	5503	92	1	PORT_RETHEMED	.claude/agents/carousel-pixel-critic.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/scorer.md	1686	36	0	PORT_RETHEMED	.claude/agents/carousel-scorer.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/scout.md	2144	44	7	PORT_RETHEMED	.claude/agents/carousel-scout.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/treatment-director.md	2223	37	2	PORT_RETHEMED	.claude/agents/carousel-treatment-director.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/agents/upgrade-engineer.md	4889	81	0	PORT_RETHEMED	.claude/agents/carousel-upgrade-engineer.md	DONE	namespaced: both Alaska repos ship a scorer and a flow-critic
alaskaaicarousels	.claude/skills/carousel-engine/SKILL.md	24638	383	30	PORT_RETHEMED	.claude/skills/carousel-engine/SKILL.md	DONE	
alaskaaicarousels	.claude/skills/carousel-engine/assemble.py	8738	215	3	PORT_RETHEMED	.claude/skills/carousel-engine/assemble.py	DONE	
alaskaaicarousels	.claude/skills/carousel-engine/bootstrap.sh	2160	50	0	PORT_RETHEMED	.claude/skills/carousel-engine/bootstrap.sh	DONE	
alaskaaicarousels	.claude/skills/carousel-engine/qa.py	62968	1184	5	PORT_RETHEMED	.claude/skills/carousel-engine/qa.py	DONE	
alaskaaicarousels	.claude/skills/carousel-engine/render.py	40485	841	5	PORT_RETHEMED	.claude/skills/carousel-engine/render.py	DONE	
alaskaaicarousels	.github/workflows/ask.yml	4334	102	1	PORT_RETHEMED	.github/workflows/ask.yml	TODO	
alaskaaicarousels	.github/workflows/beacon.yml	2382	63	0	PORT_RETHEMED	.github/workflows/beacon.yml	TODO	
alaskaaicarousels	.github/workflows/broadband-pipeline.yml	2469	67	2	PORT_RETHEMED	.github/workflows/broadband-pipeline.yml	TODO	
alaskaaicarousels	.github/workflows/docket-dates.yml	5142	123	1	PORT_RETHEMED	.github/workflows/docket-dates.yml	TODO	
alaskaaicarousels	.github/workflows/docket-map-mobile.yml	2650	81	0	PORT_RETHEMED	.github/workflows/docket-map-mobile.yml	TODO	
alaskaaicarousels	.github/workflows/gaswatch-eia.yml	7172	173	4	REBUILD	.github/workflows/-eia.yml	TODO	becomes the grid watch workflow
alaskaaicarousels	.github/workflows/gaswatch.yml	11064	236	17	REBUILD	.github/workflows/.yml	TODO	becomes the grid watch workflow
alaskaaicarousels	.github/workflows/pages.yml	5663	116	0	PORT_RETHEMED	.github/workflows/pages.yml	DONE	
alaskaaicarousels	.github/workflows/run-record-parsers.yml	3033	85	0	PORT_RETHEMED	.github/workflows/run-record-parsers.yml	TODO	
alaskaaicarousels	.github/workflows/scanner-contract.yml	3292	85	0	PORT_RETHEMED	.github/workflows/scanner-contract.yml	TODO	
alaskaaicarousels	.gitignore	48	5	0	PORT_VERBATIM	.gitignore	DONE	
alaskaaicarousels	CLAUDE.md	12178	209	19	REBUILD	CLAUDE.md	DONE	written fresh for the Texas repo topology
alaskaaicarousels	LICENSE	1062	21	0	PORT_VERBATIM	LICENSE	DONE	
alaskaaicarousels	README.md	5453	109	10	REBUILD	README.md	DONE	written fresh for the Texas repo topology
alaskaaicarousels	assets/fonts/Archivo-Var.ttf	658596	0	0	PORT_VERBATIM	assets/fonts/Archivo-Var.ttf	DONE	
alaskaaicarousels	assets/fonts/BricolageGrotesque-Var.ttf	408496	0	0	PORT_VERBATIM	assets/fonts/BricolageGrotesque-Var.ttf	DONE	
alaskaaicarousels	assets/fonts/Fraunces-Italic-Var.ttf	414904	0	0	PORT_VERBATIM	assets/fonts/Fraunces-Italic-Var.ttf	DONE	
alaskaaicarousels	assets/fonts/Fraunces-Var.ttf	360440	0	0	PORT_VERBATIM	assets/fonts/Fraunces-Var.ttf	DONE	
alaskaaicarousels	assets/fonts/InstrumentSerif-Italic.ttf	71592	0	0	PORT_VERBATIM	assets/fonts/InstrumentSerif-Italic.ttf	DONE	
alaskaaicarousels	assets/fonts/InstrumentSerif-Regular.ttf	70012	0	0	PORT_VERBATIM	assets/fonts/InstrumentSerif-Regular.ttf	DONE	
alaskaaicarousels	assets/fonts/JetBrainsMono-Bold.ttf	274096	0	0	PORT_VERBATIM	assets/fonts/JetBrainsMono-Bold.ttf	DONE	
alaskaaicarousels	assets/fonts/JetBrainsMono-Medium.ttf	270316	0	0	PORT_VERBATIM	assets/fonts/JetBrainsMono-Medium.ttf	DONE	
alaskaaicarousels	assets/fonts/JetBrainsMono-Regular.ttf	270224	0	0	PORT_VERBATIM	assets/fonts/JetBrainsMono-Regular.ttf	DONE	
alaskaaicarousels	assets/fonts/Manrope-Var.ttf	165420	0	0	PORT_VERBATIM	assets/fonts/Manrope-Var.ttf	DONE	
alaskaaicarousels	assets/fonts/SpaceGrotesk-Var.ttf	136676	0	0	PORT_VERBATIM	assets/fonts/SpaceGrotesk-Var.ttf	DONE	
alaskaaicarousels	assets/fonts/Unbounded-Var.ttf	778272	0	0	PORT_VERBATIM	assets/fonts/Unbounded-Var.ttf	DONE	
alaskaaicarousels	assets/fonts/fonts.css	2725	81	1	PORT_VERBATIM	assets/fonts/fonts.css	DONE	
alaskaaicarousels	assets/geo/ak-generation-20mw.geo.json	2952	1	6	REBUILD	assets/geo/ak-generation-20mw.geo.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
alaskaaicarousels	assets/geo/ak-taps.geo.json	4113	1	7	REBUILD	assets/geo/ak-taps.geo.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
alaskaaicarousels	assets/geo/ak-transmission-69kv.geo.json	8436	1	4	REBUILD	assets/geo/ak-transmission-69kv.geo.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
alaskaaicarousels	assets/geo/alaska-boroughs.geo.json	276271	1	11	REBUILD	assets/geo/alaska-boroughs.geo.json	TODO	Alaska geodata; Texas needs its own counties, zones and gazetteer
